A_support_setup_reset,A_shoulder_setup_reset,support_residual_full_ratio,support_ring_residual_full_ratio,shoulder_residual_full_ratio,support_setup_reset_ratio,support_ring_setup_reset_ratio,shoulder_setup_reset_ratio,access_full_ratio,access_setup_reset_ratio,score
0.02,0.012,2.0296250447686344,0.9606249404559054,1.2891319824662044,1.9690587457120508,1.0132486637669955,1.3059845620945536,2.618205833163273,0.7600925277627768,0.9085621757475528
0.02,0.01,2.0294187582080983,0.959712505025455,0.989806373992582,1.9688511635621102,1.0122999498212168,1.0068495282770524,2.6182058245879523,0.7600925209743042,0.9625541433730616
0.02,0.014,2.029831337725364,0.961537585999491,1.609129899810625,1.9692663343684684,1.0141976033714326,1.625634736089214,2.6182058417385936,0.7600925345512498,1.060807375955724
0.025,0.012,2.7182089924322184,1.295616880106629,1.2891344476642193,2.662518283250918,1.3617405769687452,1.3059870250231616,2.953533864180276,1.0299620964770757,1.2856280973593461
0.025,0.01,2.7179864716921642,1.2946354438165006,0.9898086687810288,2.6622939725537673,1.360718661487484,1.0068518221429525,2.9535338552902277,1.029962089231615,1.3318325710035246
0.025,0.014,2.7184315191074173,1.2965985153470485,1.6091325269889698,2.662742599999361,1.3627627066906176,1.6256373599704574,2.9535338730703256,1.0299621037225366,1.4454919378116589
0.02,0.016,2.0300376370785864,0.9624504417287967,1.9485245108956613,1.9694739295316692,1.0151467687150493,1.9645410533676184,2.618205850313915,0.7600925413397228,1.4466781476496855
0.025,0.016,2.718654051717999,1.2975803495982596,1.9485272928354571,2.6629669227993418,1.3637850507204805,1.9645438309618273,2.953533881960375,1.029962110967998,1.838817058110794
0.02,0.018,2.0302439428285983,0.963363507716441,2.306099671162151,1.9696815312019609,1.0160961598784055,2.3214904117990995,2.6182058588892363,0.7600925481281957,1.8907822309888886
0.02,0.02,2.030450254975697,0.9642767840350748,2.6806503928268857,1.9698891393796476,1.017045776942099,2.6952811725781887,2.6182058674645576,0.7600925549166686,2.1038526765463557
0.025,0.018,2.7188765902642005,1.2985623829207882,2.306102597954343,2.663191251651105,1.3648076091257415,2.3214933331722998,2.953533890850423,1.0299621182134586,2.2902052205438888
0.025,0.02,2.7190991347462585,1.2995446153751837,2.680653454815311,2.663415586554895,1.365830381973836,2.6952842280849563,2.953533899740472,1.0299621254589195,2.5104007857704023
0.03,0.012,3.457429327952317,1.6532745557232609,1.2891369128635928,3.408134741415127,1.7343446343449775,1.3059894879531233,3.301317874855493,1.3162494851511934,2.7945317268955874
0.03,0.01,3.4571903654422824,1.6522338319178975,0.9898109635708982,3.407893557006341,1.7332597309593327,1.006854116010271,3.301317865726985,1.3162494775130975,2.8396041310623956
0.03,0.014,3.457668296455078,1.6543154622631875,1.6091351541686911,3.4083759319445215,1.7354297349635446,1.6256399838530713,3.301317883984001,1.3162494927892892,2.95552365753627
0.03,0.016,3.4579072709507894,1.6553565515858095,1.9485300747766343,3.4086171285947566,1.736515032868823,1.9645466085574113,3.3013178931125102,1.3162495004273862,3.3499775642280967
0.03,0.018,3.458146251439677,1.6563978237392756,2.306105524747901,3.4088583313660648,1.7376005281146227,2.3214962545468603,3.3013179022410175,1.3162495080654826,3.802489345907685
0.03,0.02,3.458385237921967,1.6574392787717513,2.680656516805075,3.409099540258681,1.7386862207547717,2.6952872835930544,3.301317911369526,1.3162495157035787,4.023814787930333
0.035,0.012,4.245052900342499,2.031566329033824,1.2891393780643254,4.203566408852554,2.129005382343361,1.3059919508844389,3.659682667404729,1.6170155849401473,5.88168975350375
0.035,0.01,4.244798674183104,2.03046778853841,0.98981325836219,4.203309524574968,2.127858418620975,1.0068564098790076,3.6596826579517296,1.6170155769395793,5.925433802620727
0.035,0.014,4.2453071324482154,2.0326650509165183,1.6091377813497878,4.203823299213166,2.130152542362535,1.6256426077370547,3.659682676857729,1.617015592940715,6.044006077189176
0.035,0.016,4.245561370500463,2.0337639542314205,1.9485328567191924,4.204080195657023,2.1312998987288942,1.9645493861543692,3.65968268631073,1.617015600941283,6.43978508944754
0.035,0.018,4.245815614499452,2.034863039023476,2.306108451542825,4.2043370981843395,2.1324474514928538,2.32149917592278,3.65968269576373,1.6170156089418501,6.893616825946101
0.035,0.02,4.246069864445389,2.035962305337643,2.6806595787961784,4.204594006795331,2.1335952007048444,2.6952903391024865,3.659682705216731,1.6170156169424177,7.11626849682552
0.02,0.008,2.0292124780434606,0.9588002796355882,0.7132901039839965,1.9686435879183426,1.011351461453613,0.7303552227070221,2.6182058160126305,0.7600925141858312,9.372655304888081
0.025,0.008,2.7177639568870173,1.2936542064161858,0.7132922093591575,2.662069667907664,1.3596969601794835,0.7303573284980386,2.953533846400179,1.0299620819861541,9.733870820316556
0.04,0.012,5.0771421687099725,2.429053324137371,1.2891418432664172,5.044837827222083,2.5442680443712598,1.3059944138171085,4.029205890368985,1.9311119915908797,10.338358752488437
0.04,0.01,5.076874223099191,2.427901125697844,0.989815553154904,5.04456679482002,2.543063347493489,1.0068587037491616,4.029205880627871,1.9311119832563834,10.382894016076552
0.04,0.014,5.077410120098266,2.4302057004271562,1.6091404085322607,5.045108865543339,2.545472934190176,1.6256452316224088,4.0292059001101,1.931111999925376,10.49987953764702
0.04,0.016,5.077678077264255,2.431358254608381,1.9485356386631314,5.045379909783984,2.5466780169965904,1.9645521637527028,4.029205909851213,1.9311120082598718,10.894863360691557
0.03,0.008,3.456951408924748,1.6511932907989815,0.7132943147357694,3.4076523787179296,1.7321750247528398,0.7303594342905022,3.3013178565984767,1.3162494698750011,11.240399650411652
0.04,0.018,5.07794604020813,2.4325109867222405,2.3061113783391134,5.045650959944213,2.547883292836876,2.321502097300057,4.029205919592329,1.9311120165943687,11.347894393909232
0.04,0.02,5.0782140089300745,2.4336638968099424,2.6806626407886216,5.045922016024215,2.5490887617574156,2.6952933946132513,4.0292059293334415,1.9311120249288642,11.56975127212363
0.035,0.008,4.244544453969826,2.029369429385362,0.7132964201138325,4.203052646380194,2.126711651144998,0.7303615400844139,3.659682648498728,1.617015568939012,14.324790321286185
0.045,0.012,5.950841955296695,2.8442777296803157,1.2891443084698677,5.929052351602539,2.9786240846334153,1.3059968767511323,4.409117696998089,2.2575238174471424,16.491855874308524
0.045,0.01,5.95056163906834,2.843076962554307,0.989817847949041,5.9287685353509545,2.977367034006517,1.0068609976207348,4.409117687012461,2.2575238088110483,16.534804747298722
0.045,0.014,5.951122277070849,2.845478668355819,1.6091430357161092,5.929336173543764,2.979881321781769,1.6256478555091334,4.409117706983718,2.2575238260832373,16.654959072514583
0.045,0.016,5.951402604390967,2.8466797786175837,1.9485384206084522,5.929620001174804,2.9811387454930935,1.9645549413524115,4.409117716969344,2.2575238347193323,17.051526003431213
0.045,0.018,5.951682937257212,2.847881060502385,2.306114305136769,5.929903834495832,2.9823963558089197,2.3215050186786947,4.409117726954974,2.257523843355427,17.506134976019258
0.045,0.02,5.951963275669747,2.849082514047011,2.6806657027824037,5.930187673507015,2.9836541527707903,2.695296450125347,4.4091177369406,2.2575238519915217,17.729576049847346
0.04,0.008,5.076606283265729,2.4267491050674055,0.7132985254933465,5.0442957683369585,2.5418588435105223,0.7303636458797726,4.029205870886757,1.931111974921888,18.78293073928862
0.05,0.012,6.865217187539241,3.27643896777177,1.2891467736746776,6.855257382609015,3.4312803131549323,1.3059993396865104,4.79918332452391,2.5955463597040316,24.930919405505705
0.045,0.008,5.950281328385618,2.8418763669410385,0.7133006308743114,5.928484724788846,2.9761101698595684,0.7303657516765792,4.409117677026834,2.2575238001749534,24.933144414089348
0.05,0.01,6.864925925847291,3.275193712027638,0.9898201427446004,6.85496222768435,3.4299751875606903,1.0068632914937254,4.799183314321108,2.5955463507933687,24.972113933795903
0.05,0.014,6.865508454477659,3.2776843878291237,1.6091456629013343,6.855552542923121,3.4325856177770935,1.6256504793972273,4.799183334726714,2.595546368614695,25.095772952044122
0.05,0.016,6.865799726662689,3.2789299722322216,1.9485412025551536,6.8558477086268255,3.4338911014640128,1.9645577189534942,4.799183344929516,2.5955463775253587,25.49409090622936
0.05,0.018,6.866091004094467,3.280175721013598,2.3061172319357905,6.85614287972027,3.4351967642525403,2.3215079400586913,4.79918335513232,2.595546386436022,25.950445713672266
0.05,0.02,6.8663822867731374,3.2814216342057936,2.6806687647775265,6.8564380562036025,3.4365026061795336,2.6952995056387765,4.799183365335122,2.5955463953466844,26.175638858671174
0.05,0.008,6.8646346694016644,3.2739486205642114,0.7133027362567275,6.854667078148985,3.4286702409575387,0.7303678574748332,4.799183304118303,2.595546341882705,33.368588568918895
0.055,0.012,7.821204760439146,3.725245432361991,1.2891492388808468,7.824414953156742,3.901989597762854,1.306001802623242,5.198903149868158,2.944500899661835,35.93226417451787
0.055,0.01,7.820903849866467,3.7239599264221166,0.9898224375415823,7.824109777637832,3.9006408829572856,1.0068655853681343,5.198903139261603,2.944500890406115,35.97154683230464
0.055,0.014,7.821505675909754,3.7265310940810945,1.6091482900879346,7.824720133713102,3.90333848263083,1.625653103286692,5.198903160474715,2.9445009089175556,36.099025568763885
0.055,0.016,7.82180659627841,3.727816911607747,1.9485439845032362,7.825025319307035,3.9046875375933827,1.9645604965559522,5.1989031710812705,2.944500918173276,36.49925201809006
0.055,0.018,7.822107521545238,3.7291028849702705,2.3061201587361775,7.825330509938669,3.906036762682685,2.3215108614400464,5.198903181687827,2.9445009274289964,36.95751010473013
0.055,0.02,7.822408451710351,3.730389014197001,2.6806718267739873,7.825635705608133,3.9073861579309224,2.695302561153538,5.198903192294384,2.944500936684716,37.184612737693094
0.055,0.008,7.820602944191596,3.722674576233161,0.7133048416405945,7.823804607156248,3.8992923381819664,0.7303699632745346,5.198903128655045,2.9445008811503945,44.36599888120502
0.06,0.012,8.809268477244077,4.189774255661341,1.2891517040883744,8.826861115947882,4.389793445191546,1.3060042655613278,5.606265538229194,3.3030248186822937,49.64957941912674
0.06,0.01,8.808951269376944,4.188431850026315,0.9898247323399865,8.826539169368546,4.388382530815917,1.0068678792439612,5.606265527463503,3.303024809199899,49.68662535352945
0.06,0.014,8.809585690412392,4.191116827532311,1.609150917275911,8.827183067985581,4.391204541528906,1.625655727177527,5.606265548994887,3.3030248281646895,49.81857369289432
0.06,0.016,8.809902908882016,4.192459565670106,1.9485467664527005,8.827505025481772,4.392615819863203,1.9645632741597854,5.606265559760578,3.3030248376470834,50.22103384724404
0.06,0.018,8.810220132653082,4.193802470105614,2.3061230855379304,8.827826988436604,4.394027280229644,2.3215137828227608,5.606265570526272,3.3030248471294787,50.68152060121547
0.06,0.02,8.810537361725727,4.195145540869731,2.680674888771789,8.828148956850214,4.395438922663453,2.6953056166696325,5.606265581291964,3.303024856611874,50.91085828871988
0.06,0.008,8.808634066810855,4.1870896105963595,0.7133069470259126,8.82621722824743,4.386971798366825,0.7303720690756841,5.606265516697811,3.3030247997175035,58.078730139726495
0.065,0.012,9.835636034199768,4.667764368871187,1.2891541692972612,9.868922911409728,4.892247929581277,1.306006728500768,6.024216264584849,3.672184003669573,66.40074709294323
0.065,0.01,9.835311586026856,4.666389912797279,0.9898270271398134,9.86859339385356,4.8908021679743205,1.0068701731212064,6.024216253685842,3.6721839939851404,66.43558383386642
0.065,0.014,9.835960487222925,4.669138979528065,1.609153544465263,9.869252433965208,4.893693860673947,1.625658351069732,6.0242162754838535,3.6721840133540042,66.57194648560315
0.065,0.016,9.836284945096441,4.670513744793996,1.9485495484035453,9.86958196152012,4.895139961282137,1.9645660517649934,6.0242162863828606,3.672184023038437,66.97661235233777
0.065,0.018,9.836609407820424,4.671888664695062,2.306126012341049,9.869911494074575,4.8965862314356565,2.3215167042068354,6.024216297281866,3.672184032722869,67.43929954875475
0.065,0.02,9.836933875394982,4.673263739257357,2.6806779507709297,9.870241031628687,4.8980326711643265,2.6953086721870596,6.02421630818087,3.6721840424073,67.67084383343803
0.065,0.008,9.834987142704094,4.6650156112802685,0.7133090524126815,9.868263881296595,4.88935657582328,0.7303741748782807,6.024216242786837,3.6721839843007085,74.82536865442717
