basis,coefficient_q_amplitude,column_norm
q_setup_reset__matching_ring,1.2392648752524384,0.0014786169528345895
q_setup_reset__shoulder_ring,0.7352183013103651,0.00331285357468368
q_comp__core_gauss,0.44862707302884197,0.0022416084717071165
q_open_interval__support_broad_bowl,0.3729063096406913,0.001438924122522752
q_open_interval__support_bowl,0.03733565929871236,0.003279359553149625
q_setup_reset__support_broad_bowl,0.004343063288370205,0.01460528115568556
q_hold__support_broad_bowl,0.0021878522038453366,0.007560951986726948
q_hold__shoulder_ring,0.0012879110527899544,0.012068025141450776
q_open_close_edges__shoulder_ring,0.0009832869036384083,0.003424692688131516
q_B_reset__matching_ring,8.659291361883682e-06,0.001045540074126728
q_B_reset__shoulder_ring,4.947860352772912e-06,0.0023425412277369253
q_B_setup__support_broad_bowl,1.4441890821670412e-07,0.010327493346321354
