case,dynamic_gate_classification,access_quiet_fraction,throat_theta_plus_max_abs,throat_theta_minus_max_abs,access_core_flux_max_abs,access_core_K_l_max_abs,access_core_K_ang_max_abs,access_core_tidal_ang_max_abs,shoulder_activity_max,throat_Tkk_min,proper_half_length_R0_to_2_min,proper_half_length_R0_to_2_max
static_baseline,dynamic-gate-pass-prototype,1.0,1.1368683772161603e-13,1.1368683772161603e-13,2.7733234718725607e-13,5.684341886080802e-14,7.088082775948313e-14,1.98466317726557e-11,2.2790002508360493e-11,-0.07956951539130983,1.7300000000000004,1.7300000000000004
static_B3_long_throat,dynamic-gate-pass-prototype,1.0,1.1368683772161603e-13,1.1368683772161603e-13,9.241025903533724e-14,7.579627798029687e-14,7.088082775948313e-14,1.98466317726557e-11,2.2643733505856673e-11,-0.008841057266907348,4.514111734789638,4.514111734789638
adiabatic_B_ramp_up,flux-or-extrinsic-curvature-limited,0.7613991255465334,1.1368683772161603e-13,1.1368683772161603e-13,0.004159895380352075,0.3572639715348999,7.088082775948313e-14,1.98466317726557e-11,0.3202169897391103,-0.07806203184785718,1.7433769688959058,4.500734765893735
adiabatic_B_ramp_down,flux-or-extrinsic-curvature-limited,0.7613991255465334,1.1368683772161603e-13,1.1368683772161603e-13,0.00415989538031596,0.35726397153488354,7.088082775948313e-14,1.98466317726557e-11,0.32021698973587226,-0.07806203184864881,1.7433769688959058,4.500734765893735
slow_B_breathing,access-quietness-failure,0.45596502186133664,1.1368683772161603e-13,1.1368683772161603e-13,0.005948337325923172,0.43301161658714316,7.088082775948313e-14,1.98466317726557e-11,0.38226518362596,-0.07956949901312059,1.7300001432560332,4.514111591533607
fast_B_breathing,access-quietness-failure,0.034353529044347283,1.1368683772161603e-13,1.1368683772161603e-13,0.07135612288079057,5.194398306949414,7.088082775948313e-14,1.98466317726557e-11,4.585641665195555,-0.07956939296403968,1.730001070912061,4.514110663877577
sharp_fast_B_wall,access-quietness-failure,0.024359775140537165,1.1368683772161603e-13,1.1368683772161603e-13,0.11835574612816213,9.182486676453417,7.088082775948313e-14,1.98466317726557e-11,1.1749973382586886e-08,-0.0795692093256998,1.7300013584094023,5.261533766026982
core_R_breathing_compare,dynamic-throat-expansion-failure,0.0,1.4441411828515718,1.4441411828515718,0.15580450561247686,5.684341886080802e-14,0.7220705914257859,7.038719310760533,2.2790002508360493e-11,-0.6466132881453348,1.7300000000000004,1.7300000000000004
global_scale_factor_compare,dynamic-gate-pass-prototype,0.7589006870705809,0.290094514108487,0.290094514108487,4.909747349478243e-13,0.1450472570542435,0.1450472570542552,0.1963611183711064,0.24858352598513003,-0.11837578866361909,1.5224001503884532,1.937599849611547
side_R_repayment_with_static_B3,dynamic-gate-pass-prototype,1.0,1.1368683772161603e-13,1.1368683772161603e-13,9.241025903533724e-14,7.579627798029687e-14,7.088082775948313e-14,1.98466317726557e-11,2.9719568892270565,-0.008841057266907348,4.514111734789638,4.514111734789638
adiabatic_B_plus_side_R,flux-or-extrinsic-curvature-limited,0.7613991255465334,1.1368683772161603e-13,1.1368683772161603e-13,0.004159895380352075,0.3572639715348999,7.088082775948313e-14,1.98466317726557e-11,0.32818262780924096,-0.07806203184785718,1.7433769688959058,4.500734765893735
