variant,V,lambda,lambda_over_V,C0,Delta,v_exit,L_catch,w_catch_L,L_beta,L_q,w_release,N,t_min,t_max,X_min,X_max,coord_time,proper_time,min_dtaudt,timelike_fail_points,max_worldline_norm,max_abs_v_rel,min_1_minus_vrel2,gtt_positive_points,max_gtt,max_theta_product,min_rho_world,max_neg_nec_sum,max_abs_tidal_radial_pass,max_abs_tidal_angular_pass,max_abs_tidal_pass,max_abs_j_l_adm,max_abs_pressure_adm,I_neg_rho_world_dtau,I_neg_nec_sum_dtau,I_abs_tidal_dtau,I_abs_flux_dtau,I_abs_pressure_dtau,peak_tide_t,peak_tide_X,peak_flux_t,peak_flux_X,peak_E,peak_q,peak_W
U_coupled_shift,1.5,1.7999999999999998,1.2,100.0,0.3,0.5,0.65,0.25,1.1,1.45,0.3,801,-0.2669598528573872,5.032416432681725,-0.4,2.9500000000000006,5.299376285539112,152.49698737854206,0.8659257091428939,0,-0.7498273337546236,0.5016438876734515,0.7483534099598657,0,-1.0,1.3656951548359083e-06,-656.6123355738328,664.6045199644,286.08367768176635,177.89384430928175,286.08367768176635,18.749338981079926,641.6431322719541,132.1077866574625,82.84909738745925,85.14989660544029,12.563101717609362,200.33732897897985,0.7531700821088919,0.8086012304523074,0.6803036581827291,0.7697484662633075,0.8746439130166228,0.9862922561248393,0.08049611621346286
U_coupled_shift,2.0,2.4,1.2,100.0,0.3,0.5,0.65,0.25,1.1,1.45,0.3,801,-0.20024738046642787,4.923968486766938,-0.40000000000000013,2.9499999999999997,5.124215867233366,158.23449189649398,0.8660249546984476,0,-0.7499992221604483,0.5000224552377143,0.7499775442580481,0,-1.0,4.3827420811085357e-07,-645.1756222781582,652.619832788936,309.7848524691602,188.3580642290415,309.7848524691602,17.90483585754482,673.4571306154181,143.78203647849077,83.30784658731417,99.6985110270473,13.322527487687143,233.85905591153514,0.6452482376270776,0.8100834983145464,0.5683849996185771,0.7703186345187654,0.8735564377236131,0.9861580119370408,0.07588571341731093
U_coupled_shift,3.0,3.5999999999999996,1.2,100.0,0.3,0.5,0.65,0.25,1.1,1.45,0.3,801,-0.13351658154264945,4.8155205408521535,-0.39999999999999997,2.9499999999999997,4.949037122394803,168.35432525788127,0.866025403784438,0,-0.749999999999999,0.5000000000000224,0.7499999999999776,0,-1.0,1.3419043738893225e-08,-633.0491136153298,635.1672596951523,344.659706802727,202.4931427713164,344.659706802727,16.80865980163392,721.0111412848898,160.6288876838248,82.27807408256503,124.15336621953895,14.363757620605254,289.7784740291112,0.5284171335776555,0.8063896541519672,0.46036787314472694,0.7721237572959895,0.876251547237362,0.9864901679571383,0.08783341296972613
U_coupled_shift,5.0,6.0,1.2,100.0,0.3,0.5,0.65,0.25,1.1,1.45,0.3,801,-0.08011874661159596,4.728762184120326,-0.3999999999999999,2.95,4.808880930731922,186.83761735928925,0.8660254037844386,0,-0.75,0.5,0.75,0,-1.0,8.371155664023453e-07,-622.628393929576,617.3295954551427,392.16486164142225,219.71136890143237,392.16486164142225,16.13941471609841,783.0300836383724,180.0588663512941,80.14718407478163,160.9925288967906,15.66597512283906,371.29193570749385,0.4428470546055006,0.8070420217747379,0.37672494180793664,0.7739755566044793,0.8757791794490115,0.9864320830874205,0.08561050203727122
U_coupled_shift,10.0,12.0,1.2,100.0,0.3,0.5,0.65,0.25,1.1,1.45,0.3,801,-0.040062672523989595,4.66369341657145,-0.4,2.9499999999999997,4.703756089095439,230.58801549153378,0.8660254037844386,0,-0.75,0.5,0.75,0,-1.0,-2.6271614519317896e-08,-611.0121596931447,592.770034130127,460.47254207978466,243.45951525426236,460.47254207978466,15.563495769430096,872.5745851557574,208.7063343534976,77.0102786420161,227.70899693535503,17.424896454170675,513.86837413157,0.3715159852718613,0.8039112843475407,0.3127190341581683,0.7745128084995959,0.8780320478509787,0.9867086072936622,0.09674239348978264
V_fixed_shift,1.5,1.7999999999999998,1.2,100.0,0.3,0.5,0.65,0.25,1.1,1.45,0.3,801,-0.2669598528573872,5.032416432681725,-0.4,2.9500000000000006,5.299376285539112,151.10856085681854,0.8659321125020197,0,-0.7498384234622106,0.5008027527010662,0.7491966028870347,0,-1.0,3.783101884091338e-06,-642.3126975687208,666.8227420347221,268.44870808572085,163.03649477113024,268.44870808572085,51.06073371225341,608.2777751667394,126.3510097180182,84.87851939058554,76.29407475310516,32.901929016998,193.62476357732692,0.7597943024658157,0.8120476927078875,0.6803036581827291,0.7697484662633075,0.8721029737770303,0.9859781225580642,0.0701379555605996
V_fixed_shift,2.0,2.4,1.2,100.0,0.3,0.5,0.65,0.25,1.1,1.45,0.3,801,-0.20024738046642787,4.923968486766938,-0.40000000000000013,2.9499999999999997,5.124215867233366,155.565811968418,0.8660250026091484,0,-0.7499993051441756,0.5000065862306198,0.7499934137260018,0,-1.0,3.0656612631908966e-06,-623.2938008882256,656.4428658722823,277.6303750490642,163.54788153359303,277.6303750490642,67.31595512404478,616.8427804523427,130.44099016451415,86.22544322326799,82.24188179187398,46.5645507237742,216.38126588893948,0.6516535074611193,0.8133401837234135,0.5683849996185771,0.7703186345187654,0.8711387973873292,0.9858584954952121,0.06657114930317304
V_fixed_shift,3.0,3.5999999999999996,1.2,100.0,0.3,0.5,0.65,0.25,1.1,1.45,0.3,801,-0.13351658154264945,4.8155205408521535,-0.39999999999999997,2.9499999999999997,4.949037122394803,162.5872724675328,0.866025403784438,0,-0.749999999999999,0.5927184122799354,0.6486848837443526,0,-1.0,2.462116296388787e-06,-594.7628783391223,644.1071490333251,276.9630509700562,155.2947956047089,276.9630509700562,98.95289254035947,603.3579814502856,126.96887048440185,86.77044465073317,83.33133154195171,73.94182849303066,240.06765218832243,0.546976022786636,0.8156901733444818,0.46036787314472694,0.7721237572959895,0.869369878764541,0.9856384085310028,0.060501452275522394
V_fixed_shift,5.0,6.0,1.2,100.0,0.3,0.5,0.65,0.25,1.1,1.45,0.3,801,-0.08011874661159596,4.728762184120326,-0.3999999999999999,2.95,4.808880930731922,173.035911973073,0.8660254037844386,0,-0.75,0.7831135453879777,0.3867331750298717,0,-1.0,1.1992324359133483e-06,-543.8266070248475,636.4389021539284,238.89741626974705,117.98272431434165,238.89741626974705,160.40801282306086,520.3347221546201,100.54841169079505,87.69512433617811,60.401497814634226,114.96532233232652,228.37912995870582,0.4729025604225751,0.8220700638930294,0.37672494180793664,0.7739755566044793,0.8644632813858537,0.9850237416572013,0.04647231361897952
V_fixed_shift,10.0,12.0,1.2,100.0,0.3,0.5,0.65,0.25,1.1,1.45,0.3,801,-0.040062672523989595,4.66369341657145,-0.4,2.9499999999999997,4.703756089095439,187.77443474269649,0.0,18,2323.0558128660314,1.1861504110941816,-0.40695279773889603,26,7317.509155627673,261.873044941353,-2.0497896493207022e+31,662.9800412376308,4.553579129288428e+60,2.9910338068747304e+31,4.553579129288428e+60,309.2459041645175,675.2059235042435,58.4337207565642,92.33782941251242,75.07682304856222,45.29378002700294,126.85434585392458,0.2950799488240604,0.7656932649217172,0.3127190341581683,0.7745128084995959,0.9027983532052066,0.9896671946528695,0.34653661344612774
